#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
          82 1.317031417885768274e+00 1.317082373586469179e+00 1.211692742394848551e-05
          83 1.317170327363273330e+00 1.317083433270527015e+00 1.201718837237927475e-05
          84 1.317103259854786490e+00 1.317083669301291948e+00 1.187644426379102423e-05
          85 1.317094238881038715e+00 1.317083793649289181e+00 1.173737207642643830e-05
          86 1.316880426273607130e+00 1.317081428912362684e+00 1.183670681995352358e-05
          87 1.317175670408438526e+00 1.317082512147949691e+00 1.175011452980099166e-05
          88 1.317182668479367491e+00 1.317083650288079388e+00 1.167158166249867281e-05
          89 1.317153580886155417e+00 1.317084436025136363e+00 1.156685829291751971e-05
          90 1.317112222317352810e+00 1.317084744761716442e+00 1.144245744619663969e-05
          91 1.317062842556148805e+00 1.317084504078138929e+00 1.131924695367063192e-05
          92 1.317022735000510369e+00 1.317083832675121080e+00 1.121610632447241371e-05
          93 1.317095933740939362e+00 1.317083962794108443e+00 1.109625760260196440e-05
          94 1.317045381617322874e+00 1.317083552356057563e+00 1.098580057857367181e-05
          95 1.317118035336864779e+00 1.317083915334802846e+00 1.087615555440781044e-05
          96 1.317117129786540053e+00 1.317084261318675065e+00 1.076836407104338069e-05
          97 1.317163836854694070e+00 1.317085081685025694e+00 1.068855343830488221e-05
          98 1.316977434180301776e+00 1.317083983241099876e+00 1.063577941542018537e-05
          99 1.317072526980696656e+00 1.317083867521297691e+00 1.052897704473219186e-05
         100 1.317053621319636214e+00 1.317083565059281147e+00 1.042803063072419992e-05
